epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5168,2.08125,5.90664,0.01032,0.0065,0.58383,0.06685,0.02526,1.73152,6.30499,0.00964,0.000412371,0.000412371,0.000412371
2,72.0573,1.78844,4.48784,0.00842,0.44064,0.14627,0.11284,0.04224,1.98114,5.10011,0.01123,0.00082083,0.00082083,0.00082083
3,92.0056,1.81237,3.69134,0.00857,0.52066,0.21264,0.2005,0.09675,1.67659,3.72465,0.00927,0.00122104,0.00122104,0.00122104
4,111.683,1.76953,3.15097,0.00838,0.53611,0.27483,0.24096,0.12055,1.69253,3.49097,0.00963,0.00121287,0.00121287,0.00121287
5,131.103,1.77844,2.71094,0.00842,0.5308,0.26438,0.23598,0.1162,1.69664,2.70604,0.00963,0.0012005,0.0012005,0.0012005
6,150.262,1.76371,2.4773,0.00848,0.53948,0.32009,0.31812,0.15849,1.76457,2.47298,0.01015,0.00118812,0.00118812,0.00118812
7,169.604,1.77122,2.36183,0.00834,0.46786,0.32631,0.32883,0.16525,1.72064,2.33518,0.00979,0.00117575,0.00117575,0.00117575
8,189.595,1.7587,2.21318,0.00839,0.47862,0.34986,0.36631,0.18342,1.75355,2.20342,0.00988,0.00116337,0.00116337,0.00116337
